,age,traj,r_goodness,r_quad,r_spray,gar,player,lag1,lag2,threeyr,fcode,include,d,true_gar,cumsum,gar_miss
47,18,-5.444444444,1.141999341,-0.338219233,2.595650911,-2.045013425,a5,NA,NA,-2.045013425,NA,0,NA,-4.444444444,-3.104092627,NA
48,19,-4,1.141999341,-0.2484876,-0.486660998,-3.593149256,a5,-2.045013425,NA,-2.819081341,1,0,-1.548135831,-3,-6.884186996,NA
49,20,-2.777777778,1.141999341,-0.172560833,-1.478653442,-3.286992712,a5,-3.593149256,-2.045013425,-2.975051798,1,0,0.306156545,-1.777777778,-8.369462238,-3.286992712
50,21,-1.777777778,1.141999341,-0.110438933,-1.231259984,-1.977477354,a5,-3.286992712,-3.593149256,-2.952539774,1,0,1.309515358,-0.777777778,-9.493616396,-1.977477354
51,22,-1,1.141999341,-0.0621219,-0.256051929,-0.176174487,a5,-1.977477354,-3.286992712,-1.813548184,1,0,1.801302866,0,-9.528288077,-0.176174487
52,23,-0.444444444,1.141999341,-0.027609733,0.49329788,1.163243044,a5,-0.176174487,-1.977477354,-0.330136266,1,0,1.339417531,0.555555556,-9.247756225,1.163243044
53,24,-0.111111111,1.141999341,-0.006902433,0.43462205,1.458607847,a5,1.163243044,-0.176174487,0.815225468,1,0,0.295364803,0.888888889,-7.506124801,1.458607847
54,25,0,1.141999341,0,0.559869981,1.701869322,a5,1.458607847,1.163243044,1.441240071,1,0,0.243261475,1,-7.666813785,1.701869322
55,26,-0.112611111,1.141999341,-0.006902433,0.162433124,1.18491892,a5,1.701869322,1.458607847,1.448465363,1,0,-0.516950401,0.887388889,-8.036691628,NA
56,27,-0.432444444,1.141999341,-0.027609733,0.510218311,1.192163474,a5,1.18491892,1.701869322,1.359650572,1,0,0.007244554,0.567555556,-7.670720146,NA
57,28,-0.9325,1.141999341,-0.0621219,-0.203070328,-0.055692886,a5,1.192163474,1.18491892,0.773796503,1,0,-1.24785636,0.0675,-7.469539571,NA
58,29,-1.585777778,1.141999341,-0.110438933,1.527177363,0.972959993,a5,-0.055692886,1.192163474,0.703143527,1,0,1.02865288,-0.585777778,-7.532271682,NA
59,30,-2.365277778,1.141999341,-0.172560833,-1.762744159,-3.158583428,a5,0.972959993,-0.055692886,-0.74710544,1,0,-4.131543422,-1.365277778,-10.18332414,NA
60,31,-3.244,1.141999341,-0.2484876,-0.065354708,-2.415842967,a5,-3.158583428,0.972959993,-1.533822134,1,0,0.742740462,-2.244,-13.08404646,NA
61,32,-4.194944444,1.141999341,-0.338219233,-0.012060598,-3.403224934,a5,-2.415842967,-3.158583428,-2.992550443,1,0,-0.987381967,-3.194944444,-17.10746608,NA
62,33,-5.191111111,1.141999341,-0.441755733,0.297492747,-4.193374756,a5,-3.403224934,-2.415842967,-3.337480885,1,0,-0.790149821,-4.191111111,-22.13509323,NA
63,34,-6.2055,1.141999341,-0.559097099,1.455902676,-4.166695082,a5,-4.193374756,-3.403224934,-3.921098257,1,0,0.026679673,-5.2055,-27.44975902,NA
64,35,-7.211111111,1.141999341,-0.690243332,-0.454611269,-7.213966371,a5,-4.166695082,-4.193374756,-5.191345403,1,0,-3.047271289,-6.211111111,-35.80574419,NA
65,36,-8.180944444,1.141999341,-0.835194432,1.123473846,-6.750665689,a5,-7.213966371,-4.166695082,-6.043775714,1,0,0.463300682,-7.180944444,-44.21368367,NA
66,37,-9.088,1.141999341,-0.993950398,0.674978489,-8.264972568,a5,-6.750665689,-7.213966371,-7.409868209,1,0,-1.514306879,-8.088,-52.21210369,NA
67,38,-9.905277778,1.141999341,-1.166511231,-0.059474169,-9.989263837,a5,-8.264972568,-6.750665689,-8.334967365,1,0,-1.724291269,-8.905277778,-61.79606026,NA
68,39,-10.60577778,1.141999341,-1.352876931,0.11293131,-10.70372406,a5,-9.989263837,-8.264972568,-9.652653488,1,0,-0.71446022,-9.605777778,-73.11861636,NA
69,40,-11.1625,1.141999341,-1.553047497,-0.245511482,-11.81905964,a5,-10.70372406,-9.989263837,-10.83734918,1,0,-1.115335581,-10.1625,-84.76334632,NA
70,18,-5.444444444,0.906383129,0.356688018,1.455877516,-2.725495782,a8,NA,NA,-2.725495782,NA,0,NA,-4.444444444,-3.989887527,NA
71,19,-4,0.906383129,0.262056503,-1.960373305,-4.791933673,a8,-2.725495782,NA,-3.758714728,1,0,-2.066437891,-3,-6.965499476,NA
72,20,-2.777777778,0.906383129,0.181983682,-2.808640271,-4.498051237,a8,-4.791933673,-2.725495782,-4.005160231,1,0,0.293882436,-1.777777778,-9.719803115,NA
73,21,-1.777777778,0.906383129,0.116469557,-0.60990933,-1.364834422,a8,-4.498051237,-4.791933673,-3.551606444,1,0,3.133216815,-0.777777778,-11.13368919,-1.364834422
74,22,-1,0.906383129,0.065514126,1.079010139,1.050907394,a8,-1.364834422,-4.498051237,-1.603992755,1,0,2.415741816,0,-10.93785734,1.050907394
75,23,-0.444444444,0.906383129,0.029117389,0.134727718,0.625783792,a8,1.050907394,-1.364834422,0.103952254,1,0,-0.425123602,0.555555556,-9.846218372,NA
76,24,-0.111111111,0.906383129,0.007279347,-0.375232742,0.427318623,a8,0.625783792,1.050907394,0.701336603,1,0,-0.198465169,0.888888889,-8.583091216,0.427318623
77,25,0,0.906383129,0,0.656940201,1.56332333,a8,0.427318623,0.625783792,0.872141915,1,0,1.136004707,1,-8.683589569,NA
78,26,-0.112611111,0.906383129,0.007279347,0.355657876,1.156709241,a8,1.56332333,0.427318623,1.049117065,1,0,-0.406614089,0.887388889,-7.704306966,1.156709241
79,27,-0.432444444,0.906383129,0.029117389,0.442349383,0.945405457,a8,1.156709241,1.56332333,1.221812676,1,0,-0.211303784,0.567555556,-7.711681127,NA
80,28,-0.9325,0.906383129,0.065514126,-0.060354831,-0.020957577,a8,0.945405457,1.156709241,0.69371904,1,0,-0.966363034,0.0675,-7.701306383,NA
81,29,-1.585777778,0.906383129,0.116469557,0.861685936,0.298760844,a8,-0.020957577,0.945405457,0.407736241,1,0,0.319718421,-0.585777778,-8.543199487,NA
82,30,-2.365277778,0.906383129,0.181983682,-0.281758016,-1.558668983,a8,0.298760844,-0.020957577,-0.426955238,1,0,-1.857429827,-1.365277778,-9.397131913,NA
83,31,-3.244,0.906383129,0.262056503,-0.826966708,-2.902527076,a8,-1.558668983,0.298760844,-1.387478405,1,0,-1.343858094,-2.244,-13.00604828,NA
84,32,-4.194944444,0.906383129,0.356688018,-0.73367156,-3.665544858,a8,-2.902527076,-1.558668983,-2.708913639,1,0,-0.763017781,-3.194944444,-17.12719564,NA
85,33,-5.191111111,0.906383129,0.465878227,-0.86376987,-4.682619625,a8,-3.665544858,-2.902527076,-3.75023052,1,0,-1.017074767,-4.191111111,-22.12160918,NA
86,34,-6.2055,0.906383129,0.589627131,-0.036664607,-4.746154347,a8,-4.682619625,-3.665544858,-4.364772943,1,0,-0.063534722,-5.2055,-27.02660467,NA
87,35,-7.211111111,0.906383129,0.72793473,-0.175848304,-5.752641556,a8,-4.746154347,-4.682619625,-5.060471843,1,0,-1.006487209,-6.211111111,-34.32518312,NA
88,36,-8.180944444,0.906383129,0.880801023,0.93599724,-5.457763052,a8,-5.752641556,-4.746154347,-5.318852985,1,0,0.294878504,-7.180944444,-42.57169505,NA
89,37,-9.088,0.906383129,1.048226011,-0.7944565,-7.92784736,a8,-5.457763052,-5.752641556,-6.379417323,1,0,-2.470084308,-8.088,-51.64014807,NA
90,38,-9.905277778,0.906383129,1.230209694,0.129240886,-7.639444069,a8,-7.92784736,-5.457763052,-7.008351494,1,0,0.288403291,-8.905277778,-62.41583538,NA
91,39,-10.60577778,0.906383129,1.426752071,1.243383159,-7.029259419,a8,-7.639444069,-7.92784736,-7.532183616,1,0,0.61018465,-9.605777778,-72.72008809,NA
92,40,-11.1625,0.906383129,1.637853142,-0.404383809,-9.022647538,a8,-7.029259419,-7.639444069,-7.897117009,1,0,-1.993388119,-10.1625,-83.1100556,NA
93,18,-5.444444444,1.060515923,-0.009534132,-0.699843822,-5.093306476,a9,NA,NA,-5.093306476,NA,0,NA,-4.444444444,-5.634700915,NA
94,19,-4,1.060515923,-0.007004669,-0.855948943,-3.80243769,a9,-5.093306476,NA,-4.447872083,1,0,1.290868787,-3,-6.145974972,NA
95,20,-2.777777778,1.060515923,-0.004864353,-0.239739081,-1.96186529,a9,-3.80243769,-5.093306476,-3.619203152,1,0,1.8405724,-1.777777778,-6.773239532,-1.96186529
96,21,-1.777777778,1.060515923,-0.003113186,-1.358453379,-2.078828421,a9,-1.96186529,-3.80243769,-2.614377133,1,0,-0.116963131,-0.777777778,-7.774626848,-2.078828421
97,22,-1,1.060515923,-0.001751167,1.667091275,1.72585603,a9,-2.078828421,-1.96186529,-0.77161256,1,0,3.804684451,0,-8.871174425,1.72585603
98,23,-0.444444444,1.060515923,-0.000778297,-1.817440929,-1.202147747,a9,1.72585603,-2.078828421,-0.518373379,1,0,-2.928003778,0.555555556,-7.605905728,-1.202147747
99,24,-0.111111111,1.060515923,-0.000194574,1.655646575,2.604856813,a9,-1.202147747,1.72585603,1.042855032,1,0,3.80700456,0.888888889,-8.703880401,2.604856813
100,25,0,1.060515923,0,-0.243602358,0.816913564,a9,2.604856813,-1.202147747,0.73987421,1,0,-1.787943248,1,-6.564652316,0.816913564
101,26,-0.112611111,1.060515923,-0.000194574,0.603454056,1.551164293,a9,0.816913564,2.604856813,1.65764489,1,0,0.734250729,0.887388889,-6.311627905,1.551164293
102,27,-0.432444444,1.060515923,-0.000778297,-0.061996939,0.565296243,a9,1.551164293,0.816913564,0.977791367,1,0,-0.98586805,0.567555556,-5.700425828,NA
103,28,-0.9325,1.060515923,-0.001751167,0.950914202,1.077178958,a9,0.565296243,1.551164293,1.064546498,1,0,0.511882715,0.0675,-4.836818308,1.077178958
104,29,-1.585777778,1.060515923,-0.003113186,0.724568707,0.196193665,a9,1.077178958,0.565296243,0.612889622,1,0,-0.880985292,-0.585777778,-4.079190255,0.196193665
105,30,-2.365277778,1.060515923,-0.004864353,0.171635709,-1.1379905,a9,0.196193665,1.077178958,0.045127374,1,0,-1.334184165,-1.365277778,-3.686830788,-1.1379905
106,31,-3.244,1.060515923,-0.007004669,0.725706922,-1.464781824,a9,-1.1379905,0.196193665,-0.802192886,1,0,-0.326791325,-2.244,-6.159210662,NA
107,32,-4.194944444,1.060515923,-0.009534132,-1.036233975,-4.180196629,a9,-1.464781824,-1.1379905,-2.260989651,1,0,-2.715414805,-3.194944444,-8.741939583,NA
108,33,-5.191111111,1.060515923,-0.012452744,-0.903794321,-5.046842253,a9,-4.180196629,-1.464781824,-3.563940236,1,0,-0.866645624,-4.191111111,-12.58534391,NA
109,34,-6.2055,1.060515923,-0.015760504,-0.771911653,-5.932656235,a9,-5.046842253,-4.180196629,-5.053231706,1,0,-0.885813982,-5.2055,-17.56292716,NA
110,35,-7.211111111,1.060515923,-0.019457413,-0.11682002,-6.286872621,a9,-5.932656235,-5.046842253,-5.755457037,1,0,-0.354216386,-6.211111111,-24.84993318,NA
111,36,-8.180944444,1.060515923,-0.02354347,-0.220984919,-7.36495691,a9,-6.286872621,-5.932656235,-6.528161922,1,0,-1.078084289,-7.180944444,-31.87064055,NA
112,37,-9.088,1.060515923,-0.028018675,0.972364897,-7.083137855,a9,-7.36495691,-6.286872621,-6.911655796,1,0,0.281819055,-8.088,-39.21540463,NA
113,38,-9.905277778,1.060515923,-0.032883028,0.423907989,-8.453736894,a9,-7.083137855,-7.36495691,-7.633943886,1,0,-1.370599039,-8.905277778,-49.20592019,NA
114,39,-10.60577778,1.060515923,-0.038136529,-0.426750005,-10.01014839,a9,-8.453736894,-7.083137855,-8.515674379,1,0,-1.556411495,-9.605777778,-59.79053889,NA
115,40,-11.1625,1.060515923,-0.043779179,0.910037897,-9.235725359,a9,-10.01014839,-8.453736894,-9.233203547,1,0,0.77442303,-10.1625,-69.31512376,NA
116,18,-5.444444444,0.804375237,-0.15871866,-0.031216531,-4.830004399,a10,NA,NA,-4.830004399,NA,0,NA,-4.444444444,-4.60264456,NA
117,19,-4,0.804375237,-0.116609628,-0.02659256,-3.33882695,a10,-4.830004399,NA,-4.084415675,1,0,1.491177448,-3,-8.196890961,NA
118,20,-2.777777778,0.804375237,-0.080978908,-0.493726246,-2.548107695,a10,-3.33882695,-4.830004399,-3.572313015,1,0,0.790719255,-1.777777778,-9.462663768,-2.548107695
119,21,-1.777777778,0.804375237,-0.051826501,-1.316965509,-2.342194551,a10,-2.548107695,-3.33882695,-2.743043066,1,0,0.205913144,-0.777777778,-10.51830127,NA
120,22,-1,0.804375237,-0.029152407,-0.97579758,-1.20057475,a10,-2.342194551,-2.548107695,-2.030292332,1,0,1.141619801,0,-11.06093878,NA
121,23,-0.444444444,0.804375237,-0.012956625,-1.161862914,-0.814888747,a10,-1.20057475,-2.342194551,-1.452552683,1,0,0.385686002,0.555555556,-9.491950011,-0.814888747
122,24,-0.111111111,0.804375237,-0.003239156,0.218574911,0.90859988,a10,-0.814888747,-1.20057475,-0.368954539,1,0,1.723488628,0.888888889,-9.275635316,NA
123,25,0,0.804375237,0,0.473563238,1.277938474,a10,0.90859988,-0.814888747,0.457216536,1,0,0.369338594,1,-9.475648198,NA
124,26,-0.112611111,0.804375237,-0.003239156,-0.20416836,0.48435661,a10,1.277938474,0.90859988,0.890298321,1,0,-0.793581865,0.887388889,-7.649253971,NA
125,27,-0.432444444,0.804375237,-0.012956625,-0.717887947,-0.35891378,a10,0.48435661,1.277938474,0.467793768,1,0,-0.843270389,0.567555556,-5.941098913,NA
126,28,-0.9325,0.804375237,-0.029152407,-1.406283409,-1.563560579,a10,-0.35891378,0.48435661,-0.479372583,1,0,-1.204646799,0.0675,-7.056851495,NA
127,29,-1.585777778,0.804375237,-0.051826501,-0.497426735,-1.330655777,a10,-1.563560579,-0.35891378,-1.084376712,1,0,0.232904802,-0.585777778,-6.872866389,NA
128,30,-2.365277778,0.804375237,-0.080978908,0.368623282,-1.273258167,a10,-1.330655777,-1.563560579,-1.389158174,1,0,0.057397609,-1.365277778,-9.771485096,NA
129,31,-3.244,0.804375237,-0.116609628,0.352558362,-2.203676029,a10,-1.273258167,-1.330655777,-1.602529991,1,0,-0.930417861,-2.244,-11.48858065,NA
130,32,-4.194944444,0.804375237,-0.15871866,0.440040358,-3.109247509,a10,-2.203676029,-1.273258167,-2.195393902,1,0,-0.90557148,-3.194944444,-16.64909009,NA
131,33,-5.191111111,0.804375237,-0.207306005,-0.61977371,-5.213815589,a10,-3.109247509,-2.203676029,-3.508913042,1,0,-2.10456808,-4.191111111,-20.88161094,NA
132,34,-6.2055,0.804375237,-0.262371662,-0.241764698,-5.905261123,a10,-5.213815589,-3.109247509,-4.74277474,1,0,-0.691445535,-5.2055,-26.13508296,NA
133,35,-7.211111111,0.804375237,-0.323915632,0.83060803,-5.900043476,a10,-5.905261123,-5.213815589,-5.673040063,1,0,0.005217647,-6.211111111,-33.35754797,NA
134,36,-8.180944444,0.804375237,-0.391937915,0.448773202,-7.319733921,a10,-5.900043476,-5.905261123,-6.37501284,1,0,-1.419690444,-7.180944444,-41.66977687,NA
135,37,-9.088,0.804375237,-0.46643851,0.800067906,-7.949995368,a10,-7.319733921,-5.900043476,-7.056590922,1,0,-0.630261447,-8.088,-51.52104218,NA
136,38,-9.905277778,0.804375237,-0.547417418,-0.961703242,-10.6100232,a10,-7.949995368,-7.319733921,-8.626584163,1,0,-2.660027833,-8.905277778,-60.93962986,NA
137,39,-10.60577778,0.804375237,-0.634874639,0.439288377,-9.996988803,a10,-10.6100232,-7.949995368,-9.519002457,1,0,0.613034398,-9.605777778,-71.14103428,NA
138,40,-11.1625,0.804375237,-0.728810172,0.606413018,-10.48052192,a10,-9.996988803,-10.6100232,-10.36251131,1,0,-0.483533115,-10.1625,-82.87363662,NA
139,18,-5.444444444,1.279783744,0.080893772,0.851788307,-3.231978621,a11,NA,NA,-3.231978621,NA,0,NA,-4.444444444,-2.618649655,NA
140,19,-4,1.279783744,0.059432159,-0.824329093,-3.485113189,a11,-3.231978621,NA,-3.358545905,1,0,-0.253134568,-3,-6.428815953,NA
141,20,-2.777777778,1.279783744,0.041272333,0.468799097,-0.987922603,a11,-3.485113189,-3.231978621,-2.568338138,1,0,2.497190586,-1.777777778,-8.994708173,NA
142,21,-1.777777778,1.279783744,0.026414293,1.545955271,1.07437553,a11,-0.987922603,-3.485113189,-1.132886754,1,0,2.062298134,-0.777777778,-11.22233378,1.07437553
143,22,-1,1.279783744,0.01485804,0.559256592,0.853898376,a11,1.07437553,-0.987922603,0.313450434,1,0,-0.220477155,0,-11.65748202,NA
144,23,-0.444444444,1.279783744,0.006603573,-1.6648833,-0.822940427,a11,0.853898376,1.07437553,0.368444493,1,0,-1.676838802,0.555555556,-10.53488414,NA
145,24,-0.111111111,1.279783744,0.001650893,-0.203082259,0.967241267,a11,-0.822940427,0.853898376,0.332733072,1,0,1.790181694,0.888888889,-9.946296452,NA
146,25,0,1.279783744,0,0.738140339,2.017924083,a11,0.967241267,-0.822940427,0.720741641,1,0,1.050682816,1,-10.98063862,NA
147,26,-0.112611111,1.279783744,0.001650893,0.246298279,1.415121805,a11,2.017924083,0.967241267,1.466762385,1,0,-0.602802277,0.887388889,-12.67539213,NA
148,27,-0.432444444,1.279783744,0.006603573,-0.142036437,0.711906436,a11,1.415121805,2.017924083,1.381650775,1,0,-0.703215369,0.567555556,-13.01366159,NA
149,28,-0.9325,1.279783744,0.01485804,0.313902581,0.676044365,a11,0.711906436,1.415121805,0.934357535,1,0,-0.035862071,0.0675,-15.14937922,NA
150,29,-1.585777778,1.279783744,0.026414293,-0.642414156,-0.921993897,a11,0.676044365,0.711906436,0.155318968,1,0,-1.598038262,-0.585777778,-16.23339332,NA
151,30,-2.365277778,1.279783744,0.041272333,-0.258535825,-1.302757525,a11,-0.921993897,0.676044365,-0.516235686,1,0,-0.380763628,-1.365277778,-17.85673208,NA
152,31,-3.244,1.279783744,0.059432159,0.016570001,-1.888214095,a11,-1.302757525,-0.921993897,-1.370988506,1,0,-0.58545657,-2.244,-20.38159914,NA
153,32,-4.194944444,1.279783744,0.080893772,-0.677424003,-3.511690931,a11,-1.888214095,-1.302757525,-2.234220851,1,0,-1.623476836,-3.194944444,-22.99764322,NA
154,33,-5.191111111,1.279783744,0.105657172,0.684358803,-3.121311392,a11,-3.511690931,-1.888214095,-2.840405473,1,0,0.390379539,-4.191111111,-26.73683644,NA
155,34,-6.2055,1.279783744,0.133722358,-0.650725696,-5.442719593,a11,-3.121311392,-3.511690931,-4.025240639,1,0,-2.321408201,-5.2055,-31.49988385,NA
156,35,-7.211111111,1.279783744,0.165089331,-1.220271288,-6.986509324,a11,-5.442719593,-3.121311392,-5.183513436,1,0,-1.54378973,-6.211111111,-37.89986987,NA
157,36,-8.180944444,1.279783744,0.199758091,0.277192154,-6.424210455,a11,-6.986509324,-5.442719593,-6.284479791,1,0,0.562298869,-7.180944444,-44.43570156,NA
158,37,-9.088,1.279783744,0.237728637,0.828954073,-6.741533545,a11,-6.424210455,-6.986509324,-6.717417775,1,0,-0.31732309,-8.088,-51.84095202,NA
159,38,-9.905277778,1.279783744,0.27900097,0.588309305,-7.758183758,a11,-6.741533545,-6.424210455,-6.974642586,1,0,-1.016650213,-8.905277778,-59.87599621,NA
160,39,-10.60577778,1.279783744,0.32357509,0.289078577,-8.713340367,a11,-7.758183758,-6.741533545,-7.73768589,1,0,-0.955156609,-9.605777778,-68.57592023,NA
161,40,-11.1625,1.279783744,0.371450996,1.294222102,-8.217043158,a11,-8.713340367,-7.758183758,-8.229522428,1,0,0.496297209,-10.1625,-76.54995031,NA
